training/progress,train/grad_clip_ratio,timing/forward_ms,train/learning_rate,summary/total_iterations,performance/iterations_per_second,eval/loss,eval/num_batches,summary/final_eval_perplexity,train/grad_norm_before_clip,timing/optimizer_ms,summary/final_eval_loss,train/loss,step,system/elapsed_time_hours,performance/tokens_per_second,timing/backward_ms,summary/average_tokens_per_second,timing/eval_total_seconds,model/total_parameters,train/running_loss,training/iteration,summary/total_training_time_hours,timing/total_ms,learning_rate/group_0,model/trainable_parameters,train/perplexity,summary/final_train_loss,eval/perplexity,train/grad_norm_after_clip,timestamp
,,,,,,,,,,,,,330,0.9958310803439883,,,,,,,,,,,,,,,,1756118171.6351418
,,,,,,,,,,,,,340,,,,,,,,,,,0.00010581989518347452,,,,,,1756118283.898737
,0.9999999752298044,3994.3158626556396,,,,,,,0.4037109726769348,77.10719108581543,,1.2444374561309814,340,,,6212.216854095459,,,,,,,10283.639907836914,,,3.470981670569771,,,0.4037109726769348,1756118295.2695339
0.68,,,0.00010581989518347452,,0.08769669796728184,,,,,,,,340,,718.4113497479728,,,,,1.2592844796180724,340,,,,,,,,,1756118295.301667
,,,,,,,,,,,,,340,1.0301831113629871,,,,,,,,,,,,,,,,1756118295.302454
,,,,,,,,,,,,,350,,,,,,,,,,,9.750000000000001e-05,,,,,,1756118373.210498
,0.999999981037449,2579.9388885498047,,,,,,,0.5273552004583935,76.52497291564941,,1.2215614318847656,350,,,5616.692066192627,,,,,,,8273.155927658081,,,3.392480727797844,,,0.5273552004583935,1756118381.72001
0.7,,,9.750000000000001e-05,,0.11719169153805992,,,,,,,,350,,960.0343370797868,,,,,1.2556615269184113,350,,,,,,,,,1756118381.7435179
,,,,,,,,,,,,,350,1.054194556673368,,,,,,,,,,,,,,,,1756118381.7436569
,,,,,,,,,,,,,360,,,,,,,,,,,8.950895803144919e-05,,,,,,1756118459.6601448
,0.9999999796224152,2623.7869262695312,,,,,,,0.4907352792257114,75.84381103515625,,1.1808722019195557,360,,,5597.009181976318,,,,,,,8296.639919281006,,,3.2572139125364634,,,0.4907352792257114,1756118468.185014
0.72,,,8.950895803144919e-05,,0.11691898597720574,,,,,,,,360,,957.8003331252694,,,,,1.2477422869205474,360,,,,,,,,,1756118468.213067
,,,,,,,,,,,,,360,1.0782138730420006,,,,,,,,,,,,,,,,1756118468.213196
,,,,,,,,,,,,,370,,,,,,,,,,,8.188570083103614e-05,,,,,,1756118551.266759
,0.9999999758724244,2559.35001373291,,,,,,,0.4144635126259939,75.98590850830078,,1.211893916130066,370,,,5555.344104766846,,,,,,,8190.680027008057,,,3.3598418893608444,,,0.4144635126259939,1756118559.68314
0.74,,,8.188570083103614e-05,,0.11849323911439928,,,,,,,,370,,970.6966148251589,,,,,1.240868250131607,370,,,,,,,,,1756118559.706053
,,,,,,,,,,,,,370,1.1036285916964212,,,,,,,,,,,,,,,,1756118559.706182
,,,,,,,,,,,,,380,,,,,,,,,,,7.466736814155417e-05,,,,,,1756118637.0785
,0.9999999735122661,2764.0509605407715,,,,,,,0.3775332306248207,75.09517669677734,,1.2427446842193604,380,,,5516.216039657593,,,,,,,8355.362176895142,,,3.4651110604958384,,,0.3775332306248207,1756118645.731456
0.76,,,7.466736814155417e-05,,0.11525109976587092,,,,,,,,380,,944.1370092820146,,,,,1.2335593032836913,380,,,,,,,,,1756118645.755199
,,,,,,,,,,,,,380,1.1275311377975676,,,,,,,,,,,,,,,,1756118645.755349
,,,,,,,,,,,,,390,,,,,,,,,,,6.788912695428212e-05,,,,,,1756118724.642066
,0.9999999742763973,2799.560070037842,,,,,,,0.3887480241483107,78.49001884460449,,1.3317687511444092,390,,,5676.831007003784,,,,,,,8554.88109588623,,,3.7877370303366793,,,0.3887480241483107,1756118733.440521
0.78,,,6.788912695428212e-05,,0.11336590993063667,,,,,,,,390,,928.6935341517756,,,,,1.2337330305576324,390,,,,,,,,,1756118733.463051
,,,,,,,,,,,,,390,1.151894422835774,,,,,,,,,,,,,,,,1756118733.4631739
,,,,,,,,,,,,,400,,,,,,,,,,,6.158400017893797e-05,,,,,,1756118810.773689
,0.9999999725195241,2641.1309242248535,,,,,,,0.3638947070341151,86.84420585632324,,1.2185670137405396,400,,,5821.2690353393555,,,,,,,8549.244165420532,,,3.382337416189949,,,0.3638947070341151,1756118819.562929
0.8,,,6.158400017893797e-05,,0.11345288102906693,,,,,,,,400,,929.4060013901163,,,,,1.2295707011222838,400,,,,,,,,,1756118819.587915
,,,,,,,,,,,,,400,1.1758180011643304,,,,,,,,,,,,,,,,1756118819.588056
